payor_plan,variant_count,row_count
AAA CLUB (PA),1,1
AAA CLUB (RI),1,1
AAA CLUB (SC),1,1
AAA CLUB S CA (CA),1,1
AAA CLUB (SD),1,1
AAA CLUB (TN),1,1
AAA CLUB (TX),1,1
AAA CLUB UNSPECIFIED,1,1
AAA CLUB (VA),1,1
AAA CLUB (VT),1,1
AAA CLUB (WA),1,1
AAA CLUB (WI),1,1
AAA CLUB (WV),1,1
AAA CLUB (WY),1,1
AAA PRESCRIPT SAVINGS CARD,1,1
AAF INTL,1,1
AAM HOLDING INC,1,1
AARP HEALTH CARE OPTIONS-ESI,1,1
AARP HEALTH CARE OPTIONS-OTHER,1,1
AARP MEDCRCOMP 1 (AZ),1,1
AARP MEDCRCOMP 1 GAP (WA),1,1
AARP MEDCRCOMP 1 (OR),1,1
AARP MEDCRCOMP FOCUS (TX),1,1
AARP MEDCRCOMP MOSAIC (NY),1,1
AARP MEDCRCOMP (NV),1,1
AARP MEDCRCOMP (OK),1,1
AARP MEDCRCOMP PLUS 1 (WA),1,1
AARP MEDCRCOMP PLUS (CT),1,1
AARP MEDICARE DISCOUNT CARD,1,1
AARP MED PDP GENERAL,1,1
AARP MED PDP GENERAL (AK),1,1
AARP MED PDP GENERAL (AL),1,1
AARP MED PDP GENERAL (AR),1,1
AARP MED PDP GENERAL (AZ),1,1
AARP MED PDP GENERAL (CA),1,1
AARP MED PDP GENERAL (CO),1,1
AARP MED PDP GENERAL (CT),1,1
AARP MED PDP GENERAL (DC),1,1
AARP MED PDP GENERAL (DE),1,1
AARP MED PDP GENERAL (FL),1,1
AARP MED PDP GENERAL (GA),1,1
AARP MED PDP GENERAL (HI),1,1
AARP MED PDP GENERAL (IA),1,1
AARP MED PDP GENERAL (ID),1,1
AARP MED PDP GENERAL (IL),1,1
AARP MED PDP GENERAL (IN),1,1
AARP MED PDP GENERAL (KS),1,1
AARP MED PDP GENERAL (KY),1,1
AARP MED PDP GENERAL (LA),1,1
AARP MED PDP GENERAL (MA),1,1
AARP MED PDP GENERAL (MD),1,1
AARP MED PDP GENERAL (ME),1,1
AARP MED PDP GENERAL (MI),1,1
AARP MED PDP GENERAL (MN),1,1
AARP MED PDP GENERAL (MO),1,1
AARP MED PDP GENERAL (MS),1,1
AARP MED PDP GENERAL (MT),1,1
AARP MED PDP GENERAL (NC),1,1
AARP MED PDP GENERAL (ND),1,1
AARP MED PDP GENERAL (NE),1,1
AARP MED PDP GENERAL (NH),1,1
AARP MED PDP GENERAL (NJ),1,1
AARP MED PDP GENERAL (NM),1,1
AARP MED PDP GENERAL (NV),1,1
AARP MED PDP GENERAL (NY),1,1
AARP MED PDP GENERAL (OH),1,1
AARP MED PDP GENERAL (OK),1,1
AARP MED PDP GENERAL (OR),1,1
AARP MED PDP GENERAL (PA),1,1
AARP MED PDP GENERAL (PR),1,1
AARP MED PDP GENERAL (RI),1,1
AARP MED PDP GENERAL (SC),1,1
AARP MED PDP GENERAL (SD),1,1
AARP MED PDP GENERAL (TN),1,1
AARP MED PDP GENERAL (TX),1,1
AARP MED PDP GENERAL (UT),1,1
AARP MED PDP GENERAL (VA),1,1
AARP MED PDP GENERAL (VI),1,1
AARP MED PDP GENERAL (VT),1,1
AARP MED PDP GENERAL (WA),1,1
AARP MED PDP GENERAL (WI),1,1
AARP MED PDP GENERAL (WV),1,1
AARP MED PDP GENERAL (WY),1,1
AARP PRESCRIPTION DISC PROGRAM,1,1
AARP UNSPECIFIED,1,1
ABARCA HEALTH PLAN 0005,1,1
ABARCA HEALTH PLAN 0006,1,1
ABARCA HEALTH PLAN 0007,1,1
ABARCA HEALTH PLAN 0010,1,1
ABARCA HEALTH (PROC-UNSP),1,1
ABB INC,1,1
ABBOTT LABORATORIES,1,1
ABBOTT LABORATORIES RETIREES,1,1
ABBVIE,1,1
ABERCROMBIE AND FITCH,1,1
ABF FREIGHT SYSTEM INC,1,1
ABILIFY/BMS/OTSUKA,1,1
ABILITYCARE (MN),1,1
ABINGTON MEM HOSPITAL (PA),1,1
ABN AMRO HOLDING N V,1,1
ABRI HEALTH PLAN (WI),1,1
ABSOLUTE TOTAL CARE MMP (SC),1,1
ABSOLUTE TOTAL CARE (SC),1,1
ABT ELECTRONICS,1,1
ACAA (PR),1,1
ACANYA/VALEANT,1,1
ACCENTURE LLP,1,1
ACCESS ADMINISTRATORS INC,1,1
ACCESS ADV MED ADV GNRL (CO),1,1
ACCESS ADV SUMMIT PLAN (CO),1,1
ACCESS CARE II PPO(PA),1,1
ACCESS DUPAGE (IL),1,1
ACCESS HEALTH PLAN (CO),1,1
ACCESS HLTH-ENHD CARE (CO),1,1
ACCESS MEDICARE MED ADV GNRL(NY),1,1
ACCESS PLUS HMO (CA),1,1
ACCESS TO CARE (IL),1,1
ACCIDENT FUND (MI),1,1
ACCOR NORTH AMERICA,1,1
ACCU-CHEK METER/ROCHE,1,1
ACE HARDWARE CORPORATION,1,1
ACE INA HOLDINGS INC,1,1
ACELITY,1,1
ACH FOOD COMPANIES INC,1,1
ACHIA HRP (AK),1,1
ACIPHEX/EISAI,1,1
ACIPHEX INSTANT SAVINGS/EISAI,1,1
ACLAIM INC (PROC-UNSP),1,1
ACLAIM RXSAVINGS MED DISC CARD,1,1
ACME BRICK (TX),1,1
ACOSTA INC,1,1
ACTIVISION BLIZZARD,1,1
ACTONEL/ALLERGAN,1,1
ACTOS/TAKEDA,1,1
ACULAR LS/ALLERGAN,1,1
ACUMENT GLOBAL TECHNOLOGIES,1,1
ACUVAIL/ALLERGAN,1,1
ACZONE/ALLERGAN,1,1
ADDERALL XR/SHIRE,1,1
ADELPHIA UNIVERSITY (NY),1,1
ADIENT USA LLC,1,1
ADIPEX-P DISC CARD,1,1
ADT INC,1,1
ADVAIR DISKUS/GSK,1,1
ADVAIR FREE TRIAL/GSK,1,1
ADVANCE AUTO PARTS,1,1
ADVANCED BENEFIT SOLUTIONS,1,1
ADVANCED DISPOSAL SRVC,1,1
ADVANCEPCS PLAN 0007,1,1
ADVANCEPCS PLAN 0008,1,1
ADVANCEPCS PLAN 0009,1,1
ADVANCEPCS PLAN 0013,1,1
ADVANCEPCS PLAN 0023,1,1
ADVANCEPCS PLAN 0025,1,1
ADVANCEPCS PLAN 0034,1,1
ADVANCEPCS PLAN 0035,1,1
ADVANCEPCS PLAN 0036,1,1
ADVANCEPCS PLAN 0037,1,1
ADVANCEPCS PLAN 0038,1,1
ADVANCEPCS PLAN 0039,1,1
ADVANCEPCS PLAN 0041,1,1
ADVANCEPCS PLAN 0049,1,1
ADVANCEPCS PLAN 0054,1,1
ADVANCEPCS PLAN 0055,1,1
ADVANCEPCS PLAN 0061,1,1
ADVANCEPCS PLAN 0062,1,1
ADVANCEPCS PLAN 0064,1,1
ADVANCEPCS PLAN 0067,1,1
ADVANCEPCS PLAN 0068,1,1
ADVANCEPCS PLAN 0069,1,1
ADVANCEPCS PLAN 0070,1,1
ADVANCEPCS PLAN 0073,1,1
ADVANCEPCS PLAN 0074,1,1
ADVANCEPCS PLAN 0076,1,1
ADVANCEPCS PLAN 0080,1,1
ADVANCEPCS PLAN 0081,1,1
ADVANCEPCS PLAN 0082,1,1
ADVANCEPCS PLAN 0084,1,1
ADVANCEPCS PLAN 0097,1,1
ADVANCEPCS PLAN 0098,1,1
ADVANCEPCS PLAN 0100,1,1
ADVANCEPCS PLAN 0103,1,1
ADVANCEPCS PLAN 0104,1,1
ADVANCEPCS PLAN 0107,1,1
ADVANCEPCS PLAN 0109,1,1
ADVANCEPCS PLAN 0111,1,1
ADVANCEPCS PLAN 0112,1,1
ADVANCEPCS PLAN 0116,1,1
ADVANCEPCS PLAN 0119,1,1
ADVANCEPCS PLAN 0123,1,1
ADVANCEPCS PLAN 0124,1,1
ADVANCEPCS PLAN 0125,1,1
ADVANCEPCS PLAN 0127,1,1
ADVANCEPCS PLAN 0129,1,1
ADVANCEPCS PLAN 0130,1,1
ADVANCEPCS PLAN 0131,1,1
ADVANCEPCS PLAN 0132,1,1
ADVANCEPCS PLAN 0135,1,1
ADVANCEPCS PLAN 0137,1,1
ADVANCEPCS PLAN 0139,1,1
ADVANCEPCS PLAN 0141,1,1
ADVANCEPCS PLAN 0142,1,1
ADVANCEPCS PLAN 0146,1,1
ADVANCEPCS PLAN 0148,1,1
ADVANCEPCS PLAN 0151,1,1
ADVANCEPCS PLAN 0158,1,1
ADVANCEPCS PLAN 0160,1,1
ADVANCEPCS PLAN 0161,1,1
ADVANCEPCS PLAN 0162,1,1
ADVANCEPCS PLAN 0165,1,1
ADVANCEPCS PLAN 0166,1,1
ADVANCEPCS PLAN 0167,1,1
ADVANCEPCS PLAN 0170,1,1
ADVANCEPCS PLAN 0171,1,1
ADVANCEPCS PLAN 0173,1,1
ADVANCEPCS PLAN 0177,1,1
ADVANCEPCS PLAN 0181,1,1
ADVANCEPCS PLAN 0184,1,1
ADVANCEPCS PLAN 0187,1,1
ADVANCEPCS PLAN 0188,1,1
ADVANCEPCS PLAN 0189,1,1
ADVANCEPCS PLAN 0190,1,1
ADVANCEPCS PLAN 0191,1,1
ADVANCEPCS PLAN 0192,1,1
ADVANCEPCS PLAN 0194,1,1
ADVANCEPCS PLAN 0198,1,1
ADVANCEPCS PLAN 0199,1,1
ADVANCEPCS PLAN 0208,1,1
ADVANCEPCS PLAN 0209,1,1
ADVANCEPCS PLAN 0211,1,1
ADVANCEPCS PLAN 0216,1,1
ADVANCEPCS PLAN 0217,1,1
ADVANCEPCS PLAN 0220,1,1
ADVANCEPCS PLAN 0221,1,1
ADVANCEPCS PLAN 0227,1,1
ADVANCEPCS PLAN 0229,1,1
ADVANCEPCS PLAN 0233,1,1
ADVANCEPCS PLAN 0234,1,1
ADVANCEPCS PLAN 0240,1,1
ADVANCEPCS PLAN 0241,1,1
ADVANCEPCS PLAN 0242,1,1
ADVANCEPCS PLAN 0243,1,1
ADVANCEPCS PLAN 0245,1,1
ADVANCEPCS PLAN 0246,1,1
ADVANCEPCS PLAN 0249,1,1
ADVANCEPCS PLAN 0250,1,1
ADVANCEPCS PLAN 0252,1,1
ADVANCEPCS PLAN 0253,1,1
ADVANCEPCS PLAN 0256,1,1
ADVANCEPCS PLAN 0257,1,1
ADVANCEPCS PLAN 0258,1,1
ADVANCEPCS PLAN 0260,1,1
ADVANCEPCS PLAN 0262,1,1
ADVANCEPCS PLAN 0267,1,1
ADVANCEPCS PLAN 0269,1,1
ADVANCEPCS PLAN 0271,1,1
ADVANCEPCS PLAN 0272,1,1
ADVANCEPCS PLAN 0273,1,1
ADVANCEPCS PLAN 0274,1,1
ADVANCEPCS PLAN 0275,1,1
ADVANCEPCS PLAN 0279,1,1
ADVANCEPCS PLAN 0280,1,1
ADVANCEPCS PLAN 0281,1,1
ADVANCEPCS PLAN 0282,1,1
ADVANCEPCS PLAN 0283,1,1
ADVANCEPCS PLAN 0284,1,1
ADVANCEPCS PLAN 0287,1,1
ADVANCEPCS PLAN 0288,1,1
ADVANCEPCS PLAN 0289,1,1
ADVANCEPCS PLAN 0292,1,1
ADVANCEPCS PLAN 0293,1,1
ADVANCEPCS PLAN 0294,1,1
ADVANCEPCS PLAN 0299,1,1
ADVANCEPCS PLAN 0301,1,1
ADVANCEPCS PLAN 0302,1,1
ADVANCEPCS PLAN 0305,1,1
ADVANCEPCS PLAN 0307,1,1
ADVANCEPCS PLAN 0310,1,1
ADVANCEPCS PLAN 0312,1,1
ADVANCEPCS PLAN 0314,1,1
ADVANCEPCS PLAN 0315,1,1
ADVANCEPCS PLAN 0317,1,1
ADVANCEPCS PLAN 0318,1,1
ADVANCEPCS PLAN 0321,1,1
ADVANCEPCS PLAN 0322,1,1
ADVANCEPCS PLAN 0324,1,1
ADVANCEPCS PLAN 0326,1,1
ADVANCEPCS PLAN 0327,1,1
ADVANCEPCS PLAN 0331,1,1
ADVANCEPCS PLAN 0335,1,1
ADVANCEPCS PLAN 0337,1,1
ADVANCEPCS PLAN 0340,1,1
ADVANCEPCS PLAN 0347,1,1
ADVANCEPCS PLAN 0349,1,1
ADVANCEPCS PLAN 0350,1,1
ADVANCEPCS PLAN 0353,1,1
ADVANCEPCS PLAN 0354,1,1
ADVANCEPCS PLAN 0355,1,1
ADVANCEPCS PLAN 0356,1,1
ADVANCEPCS PLAN 0357,1,1
ADVANCEPCS PLAN 0358,1,1
ADVANCEPCS PLAN 0359,1,1
ADVANCEPCS PLAN 0362,1,1
ADVANCEPCS PLAN 0363,1,1
ADVANCEPCS PLAN 0365,1,1
ADVANCEPCS PLAN 0368,1,1
ADVANCEPCS PLAN 0370,1,1
ADVANCEPCS PLAN 0376,1,1
ADVANCEPCS PLAN 0384,1,1
ADVANCEPCS PLAN 0385,1,1
ADVANCEPCS PLAN 0393,1,1
ADVANCEPCS PLAN 0394,1,1
ADVANCEPCS PLAN 0395,1,1
ADVANCEPCS PLAN 0399,1,1
ADVANCEPCS PLAN 0402,1,1
ADVANCEPCS PLAN 0403,1,1
ADVANCEPCS PLAN 0406,1,1
ADVANCEPCS PLAN 0410,1,1
ADVANCEPCS PLAN 0412,1,1
ADVANCEPCS PLAN 0415,1,1
ADVANCEPCS PLAN 0418,1,1
ADVANCEPCS PLAN 0425,1,1
ADVANCEPCS PLAN 0426,1,1
ADVANCEPCS PLAN 0427,1,1
ADVANCEPCS PLAN 0428,1,1
ADVANCEPCS PLAN 0430,1,1
ADVANCEPCS PLAN 0433,1,1
ADVANCEPCS PLAN 0454,1,1
ADVANCEPCS PLAN 0455,1,1
ADVANCEPCS PLAN 0457,1,1
ADVANCEPCS PLAN 0459,1,1
ADVANCEPCS PLAN 0468,1,1
ADVANCEPCS PLAN 0471,1,1
ADVANCEPCS PLAN 0472,1,1
ADVANCEPCS PLAN 0474,1,1
ADVANCEPCS PLAN 0476,1,1
ADVANCEPCS PLAN 0478,1,1
ADVANCEPCS PLAN 0479,1,1
ADVANCEPCS PLAN 0500,1,1
ADVANCEPCS PLAN 0508,1,1
ADVANCEPCS PLAN 0509,1,1
ADVANCEPCS PLAN 0524,1,1
ADVANCEPCS PLAN 0542,1,1
ADVANCEPCS PLAN 0543,1,1
ADVANCEPCS PLAN 0546,1,1
ADVANCEPCS PLAN 0549,1,1
ADVANCEPCS PLAN 0551,1,1
ADVANCEPCS PLAN 0561,1,1
ADVANCEPCS PLAN 0572,1,1
ADVANCEPCS PLAN 0575,1,1
ADVANCEPCS PLAN 0579,1,1
ADVANCEPCS PLAN 0583,1,1
ADVANCEPCS PLAN 0590,1,1
ADVANCEPCS PLAN 0592,1,1
ADVANCEPCS PLAN 0596,1,1
ADVANCEPCS PLAN 0597,1,1
ADVANCEPCS PLAN 0602,1,1
ADVANCEPCS PLAN 0611,1,1
ADVANCEPCS PLAN 0618,1,1
ADVANCEPCS PLAN 0620,1,1
ADVANCEPCS PLAN 0633,1,1
ADVANCEPCS PLAN 0634,1,1
ADVANCEPCS PLAN 0635,1,1
ADVANCEPCS PLAN 0639,1,1
ADVANCEPCS PLAN 0645,1,1
ADVANCEPCS PLAN 0647,1,1
ADVANCEPCS PLAN 0648,1,1
ADVANCEPCS PLAN 0649,1,1
ADVANCEPCS PLAN 0653,1,1
ADVANCEPCS PLAN 0660,1,1
ADVANCEPCS PLAN 0664,1,1
ADVANCEPCS PLAN 0677,1,1
ADVANCEPCS PLAN 0680,1,1
ADVANCEPCS PLAN 0685,1,1
ADVANCEPCS PLAN 0687,1,1
ADVANCEPCS PLAN 0694,1,1
ADVANCEPCS PLAN 0696,1,1
ADVANCEPCS PLAN 0698,1,1
ADVANCEPCS PLAN 0699,1,1
ADVANCEPCS PLAN 0701,1,1
ADVANCEPCS PLAN 0735,1,1
ADVANCEPCS PLAN 0740,1,1
ADVANCEPCS PLAN 0788,1,1
ADVANCEPCS PLAN 0790,1,1
ADVANCEPCS PLAN 0805,1,1
ADVANCEPCS PLAN 0809,1,1
ADVANCEPCS PLAN 0810,1,1
ADVANCEPCS PLAN 0864,1,1
ADVANCEPCS PLAN 0868,1,1
ADVANCEPCS PLAN 0895,1,1
ADVANCEPCS PLAN 0911,1,1
ADVANCEPCS PLAN 0919,1,1
ADVANCEPCS PLAN 0928,1,1
ADVANCEPCS PLAN 0935,1,1
ADVANCEPCS PLAN 0981,1,1
ADVANCEPCS PLAN 1011,1,1
ADVANCEPCS PLAN 1021,1,1
ADVANCEPCS PLAN 1042,1,1
ADVANCEPCS PLAN 1058,1,1
ADVANCEPCS PLAN 1199,1,1
ADVANCING ACCESS COPAY/GILEAD,1,1
ADVANCING ACCESS/GILEAD,1,1
ADVANTAGE 65 (LA),1,1
ADVANTAGE CHOICE (IN),1,1
ADVANTAGE ELITE (IN),1,1
ADVANTAGE ENHD (IN),1,1
ADVANTAGE ENHD PLUS (IN),1,1
ADVANTAGE HEALTHPLAN (MD),1,1
ADVANTAGE HEALTH SOLUTIONS (IN),1,1
ADVANTAGE MED ADV GENERAL (FL),1,1
ADVANTAGE MED ADV GENERAL (OH),1,1
ADVANTAGE MED ADV GNRL (IN),1,1
ADVANTAGE MED D GENERAL (OH),1,1
ADVANTAGE NTWK (IN),1,1
ADVANTAGE SALES & MARKETING,1,1
ADVANTAGE SELECT (IN),1,1
ADVANTAGE SNP (IN),1,1
ADVANTAGE STAR MED PDP GENERAL,1,1
ADVANTAGE STAR (MI),1,1
ADVANTRA/COVENTRY MED D GNRL,1,1
ADVANTRA/COVENTRY MED D GNRL(AK),1,1
ADVANTRA/COVENTRY MED D GNRL(AL),1,1
ADVANTRA/COVENTRY MED D GNRL(AR),1,1
ADVANTRA/COVENTRY MED D GNRL(AZ),1,1
ADVANTRA/COVENTRY MED D GNRL(CA),1,1
ADVANTRA/COVENTRY MED D GNRL(CO),1,1
ADVANTRA/COVENTRY MED D GNRL(CT),1,1
ADVANTRA/COVENTRY MED D GNRL(DC),1,1
ADVANTRA/COVENTRY MED D GNRL(DE),1,1
ADVANTRA/COVENTRY MED D GNRL(FL),1,1
ADVANTRA/COVENTRY MED D GNRL(GA),1,1
ADVANTRA/COVENTRY MED D GNRL(HI),1,1
ADVANTRA/COVENTRY MED D GNRL(IA),1,1
ADVANTRA/COVENTRY MED D GNRL(ID),1,1
ADVANTRA/COVENTRY MED D GNRL(IL),1,1
ADVANTRA/COVENTRY MED D GNRL(IN),1,1
ADVANTRA/COVENTRY MED D GNRL(KS),1,1
ADVANTRA/COVENTRY MED D GNRL(KY),1,1
ADVANTRA/COVENTRY MED D GNRL(LA),1,1
ADVANTRA/COVENTRY MED D GNRL(MA),1,1
ADVANTRA/COVENTRY MED D GNRL(MD),1,1
ADVANTRA/COVENTRY MED D GNRL(ME),1,1
ADVANTRA/COVENTRY MED D GNRL(MI),1,1
ADVANTRA/COVENTRY MED D GNRL(MN),1,1
ADVANTRA/COVENTRY MED D GNRL(MO),1,1
ADVANTRA/COVENTRY MED D GNRL(MS),1,1
ADVANTRA/COVENTRY MED D GNRL(MT),1,1
ADVANTRA/COVENTRY MED D GNRL(NC),1,1
ADVANTRA/COVENTRY MED D GNRL(ND),1,1
ADVANTRA/COVENTRY MED D GNRL(NE),1,1
ADVANTRA/COVENTRY MED D GNRL(NH),1,1
ADVANTRA/COVENTRY MED D GNRL(NJ),1,1
ADVANTRA/COVENTRY MED D GNRL(NM),1,1
ADVANTRA/COVENTRY MED D GNRL(NV),1,1
ADVANTRA/COVENTRY MED D GNRL(NY),1,1
ADVANTRA/COVENTRY MED D GNRL(OH),1,1
ADVANTRA/COVENTRY MED D GNRL(OK),1,1
ADVANTRA/COVENTRY MED D GNRL(OR),1,1
ADVANTRA/COVENTRY MED D GNRL(PA),1,1
ADVANTRA/COVENTRY MED D GNRL(RI),1,1
ADVANTRA/COVENTRY MED D GNRL(SC),1,1
ADVANTRA/COVENTRY MED D GNRL(SD),1,1
ADVANTRA/COVENTRY MED D GNRL(TN),1,1
ADVANTRA/COVENTRY MED D GNRL(TX),1,1
ADVANTRA/COVENTRY MED D GNRL(UT),1,1
ADVANTRA/COVENTRY MED D GNRL(VA),1,1
ADVANTRA/COVENTRY MED D GNRL(VT),1,1
ADVANTRA/COVENTRY MED D GNRL(WA),1,1
ADVANTRA/COVENTRY MED D GNRL(WI),1,1
ADVANTRA/COVENTRY MED D GNRL(WV),1,1
ADVANTRA/COVENTRY MED D GNRL(WY),1,1
ADVANTRA DIAMOND,1,1
ADVANTRA FREEDOM 4 (NY),1,1
ADVANTRA FREEDOM 5 (AL),1,1
ADVANTRA FREEDOM 5 (AR),1,1
ADVANTRA FREEDOM 5 (AZ),1,1
ADVANTRA FREEDOM 5 (CO),1,1
ADVANTRA FREEDOM 5 (DC),1,1
ADVANTRA FREEDOM 5 (IA),1,1
ADVANTRA FREEDOM 5 (IN),1,1
ADVANTRA FREEDOM 5 (KY),1,1
ADVANTRA FREEDOM 5 (LA),1,1
ADVANTRA FREEDOM 5 (MI),1,1
ADVANTRA FREEDOM 5 (MS),1,1
ADVANTRA FREEDOM 5 (NC),1,1
ADVANTRA FREEDOM 5 (NE),1,1
ADVANTRA FREEDOM 5 (OH),1,1
ADVANTRA FREEDOM 5 (OK),1,1
ADVANTRA FREEDOM 5 (SC),1,1
ADVANTRA FREEDOM 5 (SD),1,1
ADVANTRA FREEDOM 5 (TN),1,1
ADVANTRA FREEDOM 5 (TX),1,1
ADVANTRA FREEDOM 5 (VA),1,1
ADVANTRA FREEDOM 5 (WA),1,1
ADVANTRA FREEDOM 5 (WI),1,1
ADVANTRA FREEDOM 5 (WV),1,1
ADVANTRA FREEDOM GENERAL,1,1
ADVANTRA FREEDOM GENERAL (KS),1,1
ADVANTRA FREEDOM GENERAL (MO),1,1
ADVANTRA GOLD (GA),1,1
ADVANTRA GOLD HMO (PA),1,1
ADVANTRA GOLD MD ADV GENERAL(IL),1,1
ADVANTRA GOLD MD ADV GENERAL(MO),1,1
ADVANTRA GOLD MED ADV GENERAL,1,1
ADVANTRA GOLD PPO (PA),1,1
ADVANTRA MED ADV GENERAL,1,1
ADVANTRA MED ADV GENERAL (IA),1,1
ADVANTRA MED ADV GENERAL (IL),1,1
ADVANTRA MED ADV GENERAL (KS),1,1
ADVANTRA MED ADV GENERAL (MO),1,1
ADVANTRA MED ADV GENERAL (PA),1,1
ADVANTRA PPO MED ADV GENERAL,1,1
ADVANTRA RX PDP GENERAL,1,1
ADVANTRA RX PDP GENERAL (AK),1,1
ADVANTRA RX PDP GENERAL (AL),1,1
ADVANTRA RX PDP GENERAL (AR),1,1
ADVANTRA RX PDP GENERAL (AZ),1,1
ADVANTRA RX PDP GENERAL (CA),1,1
ADVANTRA RX PDP GENERAL (CO),1,1
ADVANTRA RX PDP GENERAL (CT),1,1
ADVANTRA RX PDP GENERAL (DC),1,1
ADVANTRA RX PDP GENERAL (DE),1,1
ADVANTRA RX PDP GENERAL (FL),1,1
ADVANTRA RX PDP GENERAL (GA),1,1
ADVANTRA RX PDP GENERAL (HI),1,1
ADVANTRA RX PDP GENERAL (IA),1,1
ADVANTRA RX PDP GENERAL (ID),1,1
ADVANTRA RX PDP GENERAL (IL),1,1
ADVANTRA RX PDP GENERAL (IN),1,1
ADVANTRA RX PDP GENERAL (KS),1,1
ADVANTRA RX PDP GENERAL (KY),1,1
ADVANTRA RX PDP GENERAL (LA),1,1
ADVANTRA RX PDP GENERAL (MA),1,1
ADVANTRA RX PDP GENERAL (MD),1,1
ADVANTRA RX PDP GENERAL (ME),1,1
ADVANTRA RX PDP GENERAL (MI),1,1
ADVANTRA RX PDP GENERAL (MN),1,1
ADVANTRA RX PDP GENERAL (MO),1,1
ADVANTRA RX PDP GENERAL (MS),1,1
ADVANTRA RX PDP GENERAL (MT),1,1
ADVANTRA RX PDP GENERAL (NC),1,1
ADVANTRA RX PDP GENERAL (ND),1,1
ADVANTRA RX PDP GENERAL (NE),1,1
ADVANTRA RX PDP GENERAL (NH),1,1
ADVANTRA RX PDP GENERAL (NJ),1,1
ADVANTRA RX PDP GENERAL (NM),1,1
ADVANTRA RX PDP GENERAL (NV),1,1
ADVANTRA RX PDP GENERAL (NY),1,1
ADVANTRA RX PDP GENERAL (OH),1,1
ADVANTRA RX PDP GENERAL (OK),1,1
ADVANTRA RX PDP GENERAL (OR),1,1
ADVANTRA RX PDP GENERAL (PA),1,1
ADVANTRA RX PDP GENERAL (RI),1,1
ADVANTRA RX PDP GENERAL (SC),1,1
ADVANTRA RX PDP GENERAL (SD),1,1
ADVANTRA RX PDP GENERAL (TN),1,1
ADVANTRA RX PDP GENERAL (TX),1,1
ADVANTRA RX PDP GENERAL (UT),1,1
ADVANTRA RX PDP GENERAL (VA),1,1
ADVANTRA RX PDP GENERAL (VT),1,1
ADVANTRA RX PDP GENERAL (WA),1,1
ADVANTRA RX PDP GENERAL (WI),1,1
ADVANTRA RX PDP GENERAL (WV),1,1
ADVANTRA RX PDP GENERAL (WY),1,1
ADVANTRA RX PREMIER (AL),1,1
ADVANTRA RX PREMIER (AZ),1,1
ADVANTRA RX PREMIER (CA),1,1
ADVANTRA RX PREMIER (FL),1,1
ADVANTRA RX PREMIER (GA),1,1
ADVANTRA RX PREMIER GENERAL,1,1
ADVANTRA RX PREMIER (ID),1,1
ADVANTRA RX PREMIER (IL),1,1
ADVANTRA RX PREMIER (IN),1,1
ADVANTRA RX PREMIER (KY),1,1
ADVANTRA RX PREMIER (LA),1,1
ADVANTRA RX PREMIER (MD),1,1
ADVANTRA RX PREMIER (MI),1,1
ADVANTRA RX PREMIER (MO),1,1
